GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AdvancedModelMapperPractice,model,Authority,55,0,8,0,16,0,11,0,7,0
AdvancedModelMapperPractice,model,User,31,0,0,0,13,0,9,0,9,0
AdvancedModelMapperPractice,model,Role,24,0,0,0,10,0,7,0,7,0
AdvancedModelMapperPractice,main,UserServiceException,0,4,0,0,0,2,0,1,0,1
AdvancedModelMapperPractice,main,EmailVerificationServiceImpl,3,1,0,0,1,1,1,1,1,1
AdvancedModelMapperPractice,main,MainClass,16,0,0,0,6,0,2,0,2,0
AdvancedModelMapperPractice,main,User,30,33,0,0,14,12,8,5,8,5
AdvancedModelMapperPractice,main,UserServiceImpl,13,66,4,6,4,18,5,3,1,2
AdvancedModelMapperPractice,main,UserRepositoryImpl,27,0,2,0,7,0,3,0,2,0
AdvancedModelMapperPractice,main,Test,4,0,0,0,2,0,2,0,2,0
